Recipe_ID,recipe_name,ulcerative colitis,diabetes
1,Masala Karela Recipe,0,1
2,Spicy Tomato Rice (Recipe),0,1
3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,0,1
4,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,0,1
5,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),0,1
6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),0,1
7,Udupi Style Ash Gourd Coconut Curry Recipe,0,0
8,Mexican Style Black Bean Burrito Recipe,0,0
9,Spicy Crunchy Masala Idli Recipe,0,1
10,Homemade Baked Beans Recipe (Wholesome & Healthy),0,1
11,Veg Chili Cheese Burgers Recipe,0,0
12,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,0,0
13,fish soup recipe - Bengali style fish in tomato gravy,0,0
14,Saunf Aloo (Fennel Potato Curry) Recipe,0,0
15,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,1,1
16,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,1,1
17,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,0,0
18,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,1,1
19,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,0,0
20,Mini Dal Samosa Curry / Sabzi Recipe,0,0
21,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,0,0
22,Chinese Darsaan Recipe With Ice Cream,0,0
23,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",0,1
24,Matar Samosa Recipe -Green Pea Samosa,0,0
25,Tindora Sambharo Recipe - Instant Tendli Pickle,0,1
26,Chettinad Style Chicken Roast Recipe,0,0
27,Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,0,0
28,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,0,0
29,Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,0,0
30,Makki and Methi Roti Recipe,0,1
31,Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,0,0
32,Whole Wheat Pita Bread Recipe,0,0
33,Andhra Steel Tomato Knock Recipe (Tomato Chutney),0,0
34,Aamras Recipe - Ripe Mango Ras,0,0
35,Rajasthani Khooba Roti,1,1
36,Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),0,0
37,Dalia Pakora Recipe - Dalia Pakora Recipe,0,1
38,Paneer Tikka Saddle Roll Recipe,0,0
39,Pan Fried Rice Balls Filled With Cheese Recipe,0,0
40,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,0,0
41,Spicy Chilli Garlic Noodles Recipe,0,0
42,Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,0,0
43,Cheesy Garlic Broccoli Nuggets Recipe,0,0
44,Bengali radish potato vegetable recipe,0,0
45,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),1,1
46,Iranian Baida Curry Recipe,0,0
47,Vegetarian  Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),0,0
48,Masala Sandwich Recipe With Rocket Leaves,0,0
49,Tomato Relish Recipe,0,0
50,Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,1,1
51,Radish Soup Recipe,1,1
52,Mango Donut Cake Recipe With Chocolate Glaze,0,0
53,Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,0,0
54,Zucchini Roll Up Lasagne Recipe,0,0
55,Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),0,1
56,Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,0,0
57,Roasted Cauliflower Recipe,0,0
58,Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,0,0
59,Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),0,0
60,White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,1,1
61,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,0,0
62,Elephant Yam Raita (Recipe In Hindi),0,1
63,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,0,0
64,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,0,0
65,Paal Kesari Recipe - South Indian Style Milk Kesari,0,0
66,Spicy Lemon Chicken Kebab Recipe,0,1
67,Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,0,1
68,Gond Ke Ladoo Recipe - Edible Gum Ladoo,0,0
69,Mukhadi Halwa Recipe (Semolina & All Purpose Flour Halwa),0,0
70,Kobari Charu recipe - Kobbari Charu Recipe,0,1
71,Basil Tincture Recipe (Or) - Herbal Drink From Basil,1,0
72,Carrot Corn Mayo Pancake Recipe With Sandwich Spread,0,0
73,Tamil Nadu Style Spicy Egg Fry Recipe,0,1
74,Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,0,0
75,Waffle Broth Recipe - Puppet's Yamarinta Crovy,0,0
76,Kashmiri Style Modur Pulao With Pomegranate Recipe,0,0
77,North Indian Style Mushroom Matar Masala Recipe,0,1
78,Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,0,1
79,Capsicum Masala Poriyal (Recipe in Hindi),1,1
80,Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,0,0
81,Cheese Stuffed Aloo Bonda Recipe,0,0
82,Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,0,1
83,Nutty Aloo Paratha Recipe,0,0
84,Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,0,1
85,Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,1,0
86,Pudina Mushroom And Soya Biryani Recipe,0,0
87,White Vegetable Kurma Recipe With Coconut & Cashew,0,1
88,Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,0,1
89,Bengaluru Style Brinjal Gravy Recipe - For Biryani,0,0
90,PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,0,1
91,Lemon Frozen Yogurt Recipe,0,0
92,Paneer Capsicum Sandwich Recipe,0,1
93,Dry Suran Masala Vegetable Recipe,1,1
94,Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,0,0
95,Togari Bell Thove Recipe - Tour Dal Juice,0,0
96,Chicken Shawarma Recipe,0,0
97,Mushroom Paratha Recipe,1,1
98,Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,0,1
99,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),0,1
100,Maharashtrian Style Semolina and Yogurt Cake Recipe,0,0
101,Ragi Masala Roti Recipe,1,1
102,Dry Sweet Potato Thoran Recipe,0,0
103,Oreo Milkshake Recipe,0,0
104,Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,0,0
105,Dhugare Baingan Recipe - Dhungare Baingan Recipe,0,1
106,Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,0,1
107,Indo Chinese Crispy Chicken Chilli Recipe,0,0
108,And fish soup recipe - Bengali fish curry,0,1
109,Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,0,0
110,Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,1,1
111,Maa Ki Dal (Recipe),0,1
112,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,1,1
113,Dahi Bhalla Papdi Chaat Recipe,0,0
114,Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,0,1
115,Chole Masala Recipe - Dry Masala Chickpeas (Recipe),0,1
116,Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,0,0
117,Katachi Amti ,0,0
118,Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),0,0
119,Cauliflower Matar Bhurji (Recipe in Hindi),0,1
120,Kashmiri Style Paneer Masala Recipe,0,1
121,Aromatic Vegetable Pulao Recipe,0,1
122,Spicy Curd Recipe - Spicy Curd With Onions,1,1
123,Mustard Vegetable Curry Recipe,0,1
124,One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,1,1
125,Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,1,0
126,Hyderabad Soy Biryani Recipe With Vegetables & Palak,0,0
127,North Indian Feni Recipe - Sevaiyan Kheer,0,0
128,Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,1,1
129,Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),1,1
130,Vegetable Fried Brown Rice Recipe,0,1
131,Eggless Devil's Food Cake Recipe,0,0
132,Bengali Langcha Recipe With Mawa,0,0
133,Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,0,1
